,Car Make,Probability,Alt1,Alt2
1743,Daewoo Nubira Wagon 2002,51.6,Dodge Caravan Minivan 1997,Fisker Karma Sedan 2012
1744,Geo Metro Convertible 1993,99.7,Aston Martin V8 Vantage Convertible 2012,Ford Mustang Convertible 2007
1745,Daewoo Nubira Wagon 2002,23.8,Mercedes-Benz C-Class Sedan 2012,Chrysler PT Cruiser Convertible 2008
1746,Suzuki SX4 Sedan 2012,39.1,Mercedes-Benz E-Class Sedan 2012,Audi TTS Coupe 2012
1747,Ford E-Series Wagon Van 2012,70.1,Dodge Sprinter Cargo Van 2009,Buick Rainier SUV 2007
1748,Toyota 4Runner SUV 2012,91.6,Dodge Durango SUV 2007,Chevrolet Silverado 2500HD Regular Cab 2012
1749,Aston Martin V8 Vantage Convertible 2012,54.7,Hyundai Genesis Sedan 2012,Jeep Compass SUV 2012
1750,Cadillac Escalade EXT Crew Cab 2007,51.1,Audi RS 4 Convertible 2008,Bentley Arnage Sedan 2009
1751,Hyundai Genesis Sedan 2012,33.9,Ford Expedition EL SUV 2009,Chrysler Aspen SUV 2009
1752,Spyker C8 Convertible 2009,37.5,Mercedes-Benz C-Class Sedan 2012,Ford E-Series Wagon Van 2012
1753,Nissan NV Passenger Van 2012,78.7,GMC Savana Van 2012,Daewoo Nubira Wagon 2002
1754,Chevrolet Camaro Convertible 2012,38.4,Chrysler 300 SRT-8 2010,Chevrolet Silverado 1500 Extended Cab 2012
1755,Mercedes-Benz 300-Class Convertible 1993,43.0,Ferrari California Convertible 2012,Honda Accord Coupe 2012
1756,Dodge Caliber Wagon 2012,61.3,Audi S5 Coupe 2012,BMW 1 Series Convertible 2012
1757,Aston Martin V8 Vantage Convertible 2012,95.7,Bentley Continental GT Coupe 2007,Aston Martin V8 Vantage Coupe 2012
1758,Ford Edge SUV 2012,64.5,Ford Fiesta Sedan 2012,Acura TSX Sedan 2012
1759,BMW M5 Sedan 2010,25.7,Chevrolet Corvette Convertible 2012,Audi R8 Coupe 2012
1760,BMW ActiveHybrid 5 Sedan 2012,75.5,Acura TL Sedan 2012,Mercedes-Benz E-Class Sedan 2012
1761,Lamborghini Aventador Coupe 2012,39.9,Audi R8 Coupe 2012,Ford GT Coupe 2006
1762,FIAT 500 Abarth 2012,74.5,Mercedes-Benz E-Class Sedan 2012,Suzuki SX4 Hatchback 2012
1763,Daewoo Nubira Wagon 2002,75.6,Chevrolet Corvette Convertible 2012,smart fortwo Convertible 2012
1764,Volvo XC90 SUV 2007,51.7,Audi RS 4 Convertible 2008,Chrysler 300 SRT-8 2010
1765,BMW 3 Series Wagon 2012,52.4,Chevrolet Corvette ZR1 2012,Audi S4 Sedan 2012
1766,Mercedes-Benz Sprinter Van 2012,85.9,Isuzu Ascender SUV 2008,Ford Edge SUV 2012
1767,Acura Integra Type R 2001,52.8,Audi TTS Coupe 2012,Tesla Model S Sedan 2012
1768,Ford Focus Sedan 2007,12.7,Ford Edge SUV 2012,Jeep Patriot SUV 2012
1769,Volvo C30 Hatchback 2012,23.3,Dodge Caliber Wagon 2012,Dodge Magnum Wagon 2008
1770,Hyundai Veracruz SUV 2012,76.7,Cadillac CTS-V Sedan 2012,Chrysler 300 SRT-8 2010
1771,FIAT 500 Abarth 2012,95.0,Volvo C30 Hatchback 2012,Mercedes-Benz E-Class Sedan 2012
1772,Audi S4 Sedan 2007,61.5,Spyker C8 Coupe 2009,Nissan NV Passenger Van 2012
1773,Chevrolet Malibu Hybrid Sedan 2010,43.2,Chevrolet Impala Sedan 2007,Mitsubishi Lancer Sedan 2012
1774,Bentley Continental GT Coupe 2007,34.0,Mercedes-Benz C-Class Sedan 2012,BMW M5 Sedan 2010
1775,Daewoo Nubira Wagon 2002,56.6,Chrysler Town and Country Minivan 2012,Land Rover Range Rover SUV 2012
1776,Lamborghini Diablo Coupe 2001,85.6,Ferrari 458 Italia Convertible 2012,McLaren MP4-12C Coupe 2012
1777,Chevrolet Sonic Sedan 2012,46.4,Volkswagen Beetle Hatchback 2012,Audi S5 Coupe 2012
1778,Mercedes-Benz 300-Class Convertible 1993,70.4,Hyundai Accent Sedan 2012,Volkswagen Golf Hatchback 2012
1779,smart fortwo Convertible 2012,69.5,Chevrolet Sonic Sedan 2012,Suzuki Kizashi Sedan 2012
1780,Daewoo Nubira Wagon 2002,30.3,Chevrolet Sonic Sedan 2012,Bentley Continental Flying Spur Sedan 2007
1781,Chevrolet Corvette ZR1 2012,42.8,Bentley Continental Flying Spur Sedan 2007,Tesla Model S Sedan 2012
1782,Volvo XC90 SUV 2007,36.8,Volvo 240 Sedan 1993,Dodge Caliber Wagon 2012
1783,Ford GT Coupe 2006,44.5,Bugatti Veyron 16.4 Convertible 2009,Aston Martin V8 Vantage Convertible 2012
1784,Audi R8 Coupe 2012,17.5,BMW M6 Convertible 2010,Suzuki Kizashi Sedan 2012
1785,Audi RS 4 Convertible 2008,77.1,Bentley Arnage Sedan 2009,Audi S4 Sedan 2012
1786,BMW X6 SUV 2012,27.5,Audi S4 Sedan 2012,Ferrari FF Coupe 2012
1787,Dodge Dakota Club Cab 2007,43.3,Jeep Wrangler SUV 2012,HUMMER H3T Crew Cab 2010
1788,Chevrolet Monte Carlo Coupe 2007,25.8,Mercedes-Benz 300-Class Convertible 1993,Suzuki Kizashi Sedan 2012
1789,Spyker C8 Coupe 2009,96.5,Acura Integra Type R 2001,Maybach Landaulet Convertible 2012
1790,MINI Cooper Roadster Convertible 2012,86.3,Toyota Camry Sedan 2012,Chrysler Sebring Convertible 2010
1791,Audi S4 Sedan 2012,45.2,Ford Fiesta Sedan 2012,Mitsubishi Lancer Sedan 2012
1792,Hyundai Veracruz SUV 2012,98.2,Land Rover Range Rover SUV 2012,Volvo 240 Sedan 1993
1793,Hyundai Sonata Sedan 2012,39.4,Volvo XC90 SUV 2007,Hyundai Santa Fe SUV 2012
1794,BMW 1 Series Convertible 2012,58.2,BMW M3 Coupe 2012,Mercedes-Benz S-Class Sedan 2012
1795,Audi S4 Sedan 2012,16.9,Porsche Panamera Sedan 2012,Acura RL Sedan 2012
1796,Buick Enclave SUV 2012,51.8,Dodge Ram Pickup 3500 Crew Cab 2010,Volvo XC90 SUV 2007
1797,Ford Fiesta Sedan 2012,32.1,Hyundai Genesis Sedan 2012,Ford Edge SUV 2012
1798,Aston Martin V8 Vantage Convertible 2012,80.7,Aston Martin Virage Convertible 2012,Mercedes-Benz S-Class Sedan 2012
1799,Dodge Charger Sedan 2012,66.4,Mitsubishi Lancer Sedan 2012,Audi S4 Sedan 2007
1800,GMC Acadia SUV 2012,86.3,Chevrolet Sonic Sedan 2012,Chevrolet Traverse SUV 2012
1801,smart fortwo Convertible 2012,65.7,Lamborghini Gallardo LP 570-4 Superleggera 2012,Spyker C8 Convertible 2009
1802,Daewoo Nubira Wagon 2002,99.3,Suzuki SX4 Hatchback 2012,Nissan Juke Hatchback 2012
1803,Toyota 4Runner SUV 2012,26.2,Daewoo Nubira Wagon 2002,Chevrolet Silverado 1500 Regular Cab 2012
1804,Chrysler 300 SRT-8 2010,89.7,Ferrari FF Coupe 2012,Jeep Compass SUV 2012
1805,Lamborghini Reventon Coupe 2008,46.6,Bugatti Veyron 16.4 Coupe 2009,Audi TTS Coupe 2012
1806,Daewoo Nubira Wagon 2002,47.6,Chevrolet Sonic Sedan 2012,Acura TL Type-S 2008
1807,Suzuki SX4 Sedan 2012,26.7,Audi TTS Coupe 2012,Tesla Model S Sedan 2012
1808,GMC Acadia SUV 2012,97.0,Dodge Durango SUV 2007,Jeep Compass SUV 2012
1809,FIAT 500 Convertible 2012,74.0,smart fortwo Convertible 2012,FIAT 500 Abarth 2012
1810,Nissan Juke Hatchback 2012,37.3,Ford GT Coupe 2006,Aston Martin V8 Vantage Convertible 2012
1811,Bentley Continental Flying Spur Sedan 2007,28.9,Audi TT Hatchback 2011,BMW M5 Sedan 2010
1812,Bentley Continental GT Coupe 2012,18.1,Aston Martin V8 Vantage Coupe 2012,Hyundai Veloster Hatchback 2012
1813,Aston Martin Virage Convertible 2012,52.8,Audi S4 Sedan 2007,Hyundai Genesis Sedan 2012
1814,Chevrolet Corvette Ron Fellows Edition Z06 2007,25.9,BMW X5 SUV 2007,HUMMER H3T Crew Cab 2010
1815,Bentley Arnage Sedan 2009,29.5,Mercedes-Benz C-Class Sedan 2012,Audi TTS Coupe 2012
1816,Ferrari California Convertible 2012,30.1,Scion xD Hatchback 2012,Aston Martin V8 Vantage Convertible 2012
1817,Suzuki Aerio Sedan 2007,49.2,Daewoo Nubira Wagon 2002,Volvo C30 Hatchback 2012
1818,Chrysler Town and Country Minivan 2012,41.5,Chrysler PT Cruiser Convertible 2008,Ford Fiesta Sedan 2012
1819,Volvo XC90 SUV 2007,67.1,Mercedes-Benz S-Class Sedan 2012,GMC Canyon Extended Cab 2012
1820,Ferrari California Convertible 2012,44.3,Mitsubishi Lancer Sedan 2012,McLaren MP4-12C Coupe 2012
1821,Rolls-Royce Ghost Sedan 2012,80.1,Bentley Arnage Sedan 2009,Chrysler Aspen SUV 2009
1822,MINI Cooper Roadster Convertible 2012,96.0,BMW 1 Series Convertible 2012,Cadillac CTS-V Sedan 2012
1823,BMW X6 SUV 2012,93.3,Ford Edge SUV 2012,Chrysler 300 SRT-8 2010
1824,Audi S4 Sedan 2007,91.9,Hyundai Veloster Hatchback 2012,Bugatti Veyron 16.4 Convertible 2009
1825,Hyundai Sonata Sedan 2012,65.9,Chrysler Aspen SUV 2009,Hyundai Genesis Sedan 2012
1826,Honda Accord Sedan 2012,24.2,Hyundai Genesis Sedan 2012,BMW X6 SUV 2012
1827,Daewoo Nubira Wagon 2002,85.3,Chevrolet Sonic Sedan 2012,Volvo 240 Sedan 1993
1828,Audi RS 4 Convertible 2008,100.0,Ford GT Coupe 2006,Chevrolet Corvette ZR1 2012
1829,Jeep Grand Cherokee SUV 2012,71.2,Ford Expedition EL SUV 2009,Chevrolet Silverado 2500HD Regular Cab 2012
1830,BMW M3 Coupe 2012,45.7,Mitsubishi Lancer Sedan 2012,Audi TT Hatchback 2011
1831,Ford GT Coupe 2006,26.0,Jaguar XK XKR 2012,Audi TT RS Coupe 2012
1832,Plymouth Neon Coupe 1999,67.7,Hyundai Sonata Sedan 2012,Bugatti Veyron 16.4 Coupe 2009
1833,Dodge Challenger SRT8 2011,44.8,Aston Martin V8 Vantage Coupe 2012,Volvo C30 Hatchback 2012
1834,BMW 3 Series Sedan 2012,17.6,Audi 100 Wagon 1994,Spyker C8 Coupe 2009
1835,BMW M5 Sedan 2010,21.9,FIAT 500 Abarth 2012,Volvo C30 Hatchback 2012
1836,Daewoo Nubira Wagon 2002,99.4,Dodge Caravan Minivan 1997,Infiniti QX56 SUV 2011
1837,GMC Acadia SUV 2012,25.7,Daewoo Nubira Wagon 2002,Infiniti G Coupe IPL 2012
1838,Bentley Arnage Sedan 2009,62.2,GMC Acadia SUV 2012,Volvo 240 Sedan 1993
1839,Aston Martin V8 Vantage Convertible 2012,41.8,Jaguar XK XKR 2012,Bentley Continental Flying Spur Sedan 2007
1840,Ford E-Series Wagon Van 2012,81.7,Ford Ranger SuperCab 2011,GMC Acadia SUV 2012
1841,Bentley Arnage Sedan 2009,48.0,Mercedes-Benz S-Class Sedan 2012,Volvo XC90 SUV 2007
1842,Suzuki SX4 Sedan 2012,78.8,Acura TL Sedan 2012,Honda Odyssey Minivan 2012
1843,Jeep Patriot SUV 2012,20.8,Audi RS 4 Convertible 2008,BMW M5 Sedan 2010
1844,Chrysler 300 SRT-8 2010,18.0,Audi S4 Sedan 2007,Bentley Arnage Sedan 2009
1845,Chevrolet Sonic Sedan 2012,24.6,Chrysler Town and Country Minivan 2012,Toyota Corolla Sedan 2012
1846,Honda Accord Sedan 2012,35.1,Bentley Continental Flying Spur Sedan 2007,Audi S4 Sedan 2007
1847,Ford F-150 Regular Cab 2012,35.5,Daewoo Nubira Wagon 2002,BMW ActiveHybrid 5 Sedan 2012
1848,Ford E-Series Wagon Van 2012,87.7,Dodge Challenger SRT8 2011,Chrysler 300 SRT-8 2010
1849,GMC Canyon Extended Cab 2012,72.8,Mercedes-Benz 300-Class Convertible 1993,Chevrolet Silverado 1500 Regular Cab 2012
1850,Hyundai Azera Sedan 2012,41.3,Mitsubishi Lancer Sedan 2012,Tesla Model S Sedan 2012
1851,FIAT 500 Abarth 2012,84.9,Suzuki SX4 Sedan 2012,Audi S4 Sedan 2007
1852,Audi S4 Sedan 2007,62.6,Suzuki Kizashi Sedan 2012,Nissan Juke Hatchback 2012
1853,HUMMER H2 SUT Crew Cab 2009,66.1,HUMMER H3T Crew Cab 2010,AM General Hummer SUV 2000
1854,Land Rover LR2 SUV 2012,63.9,Chevrolet Corvette ZR1 2012,BMW M3 Coupe 2012
1855,Hyundai Veloster Hatchback 2012,99.4,Dodge Charger SRT-8 2009,Ferrari California Convertible 2012
1856,Jeep Grand Cherokee SUV 2012,52.2,BMW X6 SUV 2012,Ford F-150 Regular Cab 2012
1857,Dodge Dakota Crew Cab 2010,55.7,GMC Acadia SUV 2012,Chevrolet Avalanche Crew Cab 2012
1858,Ferrari 458 Italia Coupe 2012,68.2,smart fortwo Convertible 2012,Ferrari 458 Italia Convertible 2012
1859,Mercedes-Benz Sprinter Van 2012,26.9,Hyundai Azera Sedan 2012,Mercedes-Benz S-Class Sedan 2012
1860,Dodge Durango SUV 2012,19.7,Mitsubishi Lancer Sedan 2012,Audi TT Hatchback 2011
1861,Hyundai Elantra Touring Hatchback 2012,17.7,Suzuki Kizashi Sedan 2012,Nissan Juke Hatchback 2012
1862,Spyker C8 Coupe 2009,79.6,Audi S4 Sedan 2007,Volvo C30 Hatchback 2012
1863,Volvo 240 Sedan 1993,17.7,Daewoo Nubira Wagon 2002,Hyundai Elantra Touring Hatchback 2012
1864,Spyker C8 Coupe 2009,53.0,Spyker C8 Convertible 2009,Bugatti Veyron 16.4 Convertible 2009
1865,Chrysler Town and Country Minivan 2012,68.8,Toyota Sequoia SUV 2012,Honda Odyssey Minivan 2007
1866,BMW M5 Sedan 2010,67.7,Buick Regal GS 2012,Audi RS 4 Convertible 2008
1867,Chevrolet HHR SS 2010,45.9,Dodge Caliber Wagon 2012,Dodge Durango SUV 2012
1868,Bentley Arnage Sedan 2009,90.1,AM General Hummer SUV 2000,smart fortwo Convertible 2012
1869,smart fortwo Convertible 2012,89.2,MINI Cooper Roadster Convertible 2012,Suzuki Kizashi Sedan 2012
1870,Daewoo Nubira Wagon 2002,36.4,Nissan Leaf Hatchback 2012,Chevrolet Sonic Sedan 2012
1871,Mercedes-Benz 300-Class Convertible 1993,82.3,Hyundai Accent Sedan 2012,Dodge Magnum Wagon 2008
1872,BMW M3 Coupe 2012,32.3,Audi S5 Coupe 2012,Mercedes-Benz S-Class Sedan 2012
1873,Ford Freestar Minivan 2007,68.6,Mercedes-Benz 300-Class Convertible 1993,Volkswagen Golf Hatchback 2012
1874,Audi S4 Sedan 2012,88.9,Mercedes-Benz C-Class Sedan 2012,Dodge Charger Sedan 2012
1875,Mercedes-Benz E-Class Sedan 2012,13.7,BMW M5 Sedan 2010,Dodge Durango SUV 2012
1876,Audi S5 Coupe 2012,68.9,Aston Martin Virage Convertible 2012,Suzuki Kizashi Sedan 2012
1877,Nissan Juke Hatchback 2012,65.9,Ford Focus Sedan 2007,Volvo C30 Hatchback 2012
1878,Daewoo Nubira Wagon 2002,38.6,Cadillac Escalade EXT Crew Cab 2007,Suzuki Kizashi Sedan 2012
1879,BMW M3 Coupe 2012,34.2,MINI Cooper Roadster Convertible 2012,Audi TTS Coupe 2012
1880,Hyundai Genesis Sedan 2012,74.6,Hyundai Veracruz SUV 2012,Dodge Durango SUV 2012
1881,Hyundai Azera Sedan 2012,43.2,Hyundai Sonata Sedan 2012,Honda Odyssey Minivan 2012
1882,Nissan Leaf Hatchback 2012,28.6,Suzuki Kizashi Sedan 2012,Dodge Durango SUV 2012
1883,Hyundai Elantra Touring Hatchback 2012,87.2,Infiniti G Coupe IPL 2012,Audi TTS Coupe 2012
1884,GMC Acadia SUV 2012,23.4,Audi A5 Coupe 2012,BMW 3 Series Wagon 2012
1885,Ford F-450 Super Duty Crew Cab 2012,50.8,Volvo XC90 SUV 2007,Dodge Ram Pickup 3500 Crew Cab 2010
1886,Volvo XC90 SUV 2007,99.9,Jeep Compass SUV 2012,AM General Hummer SUV 2000
1887,Nissan NV Passenger Van 2012,63.0,GMC Savana Van 2012,Chevrolet Express Van 2007
1888,Volvo C30 Hatchback 2012,14.5,Nissan Leaf Hatchback 2012,Suzuki Kizashi Sedan 2012
1889,Chevrolet Monte Carlo Coupe 2007,36.0,Mercedes-Benz 300-Class Convertible 1993,Chevrolet Camaro Convertible 2012
1890,Mercedes-Benz E-Class Sedan 2012,35.4,Hyundai Genesis Sedan 2012,Mercedes-Benz C-Class Sedan 2012
1891,Audi R8 Coupe 2012,46.7,Ford GT Coupe 2006,Chevrolet Camaro Convertible 2012
1892,Nissan 240SX Coupe 1998,57.8,Audi 100 Sedan 1994,Dodge Magnum Wagon 2008
1893,Hyundai Veracruz SUV 2012,36.9,Hyundai Elantra Sedan 2007,Chrysler Aspen SUV 2009
1894,Audi TTS Coupe 2012,85.4,Chevrolet Corvette ZR1 2012,Aston Martin V8 Vantage Coupe 2012
1895,Hyundai Veloster Hatchback 2012,23.7,Hyundai Azera Sedan 2012,Ford Fiesta Sedan 2012
1896,Aston Martin Virage Convertible 2012,96.2,Ford E-Series Wagon Van 2012,Dodge Challenger SRT8 2011
1897,Hyundai Santa Fe SUV 2012,99.9,Chrysler Aspen SUV 2009,Audi S4 Sedan 2007
1898,Acura TL Sedan 2012,35.1,Buick Regal GS 2012,Hyundai Elantra Touring Hatchback 2012
1899,Chevrolet Traverse SUV 2012,68.1,Dodge Durango SUV 2007,Jeep Patriot SUV 2012
1900,Nissan Leaf Hatchback 2012,24.3,Scion xD Hatchback 2012,Aston Martin V8 Vantage Convertible 2012
1901,Land Rover Range Rover SUV 2012,84.7,Bentley Arnage Sedan 2009,Infiniti QX56 SUV 2011
1902,Geo Metro Convertible 1993,44.3,smart fortwo Convertible 2012,Audi RS 4 Convertible 2008
1903,Honda Odyssey Minivan 2012,20.6,Daewoo Nubira Wagon 2002,Land Rover LR2 SUV 2012
1904,Land Rover Range Rover SUV 2012,89.5,Toyota Sequoia SUV 2012,Infiniti QX56 SUV 2011
1905,Audi S4 Sedan 2007,58.5,Chrysler 300 SRT-8 2010,Dodge Journey SUV 2012
1906,Honda Accord Coupe 2012,80.7,Mercedes-Benz 300-Class Convertible 1993,Dodge Charger SRT-8 2009
1907,Audi S4 Sedan 2007,48.2,Audi RS 4 Convertible 2008,Audi S4 Sedan 2012
1908,Volvo C30 Hatchback 2012,57.1,Nissan Juke Hatchback 2012,Suzuki SX4 Hatchback 2012
1909,Nissan Leaf Hatchback 2012,30.3,Daewoo Nubira Wagon 2002,Lamborghini Reventon Coupe 2008
1910,Ford GT Coupe 2006,67.2,Lamborghini Reventon Coupe 2008,Hyundai Veloster Hatchback 2012
1911,Chrysler PT Cruiser Convertible 2008,50.9,Scion xD Hatchback 2012,Audi S4 Sedan 2007
1912,Mercedes-Benz E-Class Sedan 2012,97.3,Dodge Durango SUV 2012,Mercedes-Benz S-Class Sedan 2012
1913,Aston Martin Virage Convertible 2012,53.4,smart fortwo Convertible 2012,Ford Mustang Convertible 2007
1914,Hyundai Genesis Sedan 2012,50.6,Mercedes-Benz C-Class Sedan 2012,Honda Odyssey Minivan 2012
1915,Jeep Wrangler SUV 2012,47.9,Dodge Caliber Wagon 2007,Ford F-150 Regular Cab 2012
1916,Honda Odyssey Minivan 2007,33.4,Mercedes-Benz Sprinter Van 2012,Chrysler PT Cruiser Convertible 2008
1917,Bentley Arnage Sedan 2009,66.4,Daewoo Nubira Wagon 2002,Chrysler 300 SRT-8 2010
1918,Nissan Leaf Hatchback 2012,33.7,Aston Martin V8 Vantage Coupe 2012,Ferrari FF Coupe 2012
1919,Volvo C30 Hatchback 2012,56.2,Suzuki SX4 Hatchback 2012,Audi RS 4 Convertible 2008
1920,Mercedes-Benz C-Class Sedan 2012,97.1,Mercedes-Benz 300-Class Convertible 1993,Hyundai Veracruz SUV 2012
1921,BMW X5 SUV 2007,43.4,Audi A5 Coupe 2012,Audi TT Hatchback 2011
1922,Mercedes-Benz S-Class Sedan 2012,40.8,Volvo 240 Sedan 1993,Audi RS 4 Convertible 2008
1923,Bentley Arnage Sedan 2009,36.4,Dodge Durango SUV 2007,GMC Acadia SUV 2012
1924,BMW Z4 Convertible 2012,73.1,Volvo 240 Sedan 1993,Infiniti QX56 SUV 2011
1925,Mercedes-Benz SL-Class Coupe 2009,34.9,Suzuki Kizashi Sedan 2012,Aston Martin V8 Vantage Coupe 2012
1926,BMW M5 Sedan 2010,92.5,Audi R8 Coupe 2012,McLaren MP4-12C Coupe 2012
1927,BMW X5 SUV 2007,89.6,Ford Edge SUV 2012,Dodge Durango SUV 2012
1928,BMW 3 Series Sedan 2012,43.9,Ferrari California Convertible 2012,Honda Accord Coupe 2012
1929,Ford Expedition EL SUV 2009,42.0,Chrysler Town and Country Minivan 2012,Dodge Durango SUV 2007
1930,Chevrolet Silverado 2500HD Regular Cab 2012,51.7,GMC Canyon Extended Cab 2012,Chevrolet Silverado 1500 Regular Cab 2012
1931,Bentley Arnage Sedan 2009,99.8,Dodge Magnum Wagon 2008,Aston Martin V8 Vantage Coupe 2012
1932,Nissan NV Passenger Van 2012,30.2,Chevrolet HHR SS 2010,smart fortwo Convertible 2012
1933,Ford Expedition EL SUV 2009,84.4,Chevrolet Avalanche Crew Cab 2012,Audi V8 Sedan 1994
1934,Ford Edge SUV 2012,65.0,Hyundai Genesis Sedan 2012,Hyundai Tucson SUV 2012
1935,Nissan NV Passenger Van 2012,39.7,Bentley Arnage Sedan 2009,Ford E-Series Wagon Van 2012
1936,Audi S4 Sedan 2012,35.1,Aston Martin V8 Vantage Convertible 2012,Volvo C30 Hatchback 2012
1937,Aston Martin Virage Convertible 2012,40.0,Bentley Continental Flying Spur Sedan 2007,Chevrolet Sonic Sedan 2012
1938,Ford Expedition EL SUV 2009,92.0,Chrysler Aspen SUV 2009,GMC Acadia SUV 2012
1939,Mercedes-Benz E-Class Sedan 2012,56.9,Chrysler Town and Country Minivan 2012,Hyundai Elantra Touring Hatchback 2012
1940,Hyundai Sonata Sedan 2012,31.5,Hyundai Elantra Touring Hatchback 2012,Suzuki SX4 Hatchback 2012
1941,MINI Cooper Roadster Convertible 2012,17.0,Chevrolet Monte Carlo Coupe 2007,Aston Martin V8 Vantage Coupe 2012
1942,Bentley Arnage Sedan 2009,23.1,Aston Martin V8 Vantage Convertible 2012,Ford GT Coupe 2006
1943,Daewoo Nubira Wagon 2002,87.5,Nissan NV Passenger Van 2012,Chevrolet Avalanche Crew Cab 2012
1944,Suzuki SX4 Sedan 2012,20.6,Acura TL Sedan 2012,Mercedes-Benz C-Class Sedan 2012
1945,BMW Z4 Convertible 2012,78.0,Audi RS 4 Convertible 2008,Lamborghini Diablo Coupe 2001
1946,Ford Edge SUV 2012,25.1,Honda Accord Sedan 2012,Ford Fiesta Sedan 2012
1947,Aston Martin Virage Convertible 2012,86.9,Aston Martin V8 Vantage Convertible 2012,Hyundai Genesis Sedan 2012
1948,Ford Expedition EL SUV 2009,47.3,Bentley Arnage Sedan 2009,Chrysler Town and Country Minivan 2012
1949,Audi V8 Sedan 1994,62.9,FIAT 500 Abarth 2012,Bentley Arnage Sedan 2009
1950,Daewoo Nubira Wagon 2002,72.5,Audi S4 Sedan 2007,Volkswagen Golf Hatchback 1991
1951,Dodge Ram Pickup 3500 Quad Cab 2009,28.5,Isuzu Ascender SUV 2008,Aston Martin Virage Convertible 2012
1952,Suzuki SX4 Sedan 2012,48.7,Mercedes-Benz E-Class Sedan 2012,Suzuki SX4 Hatchback 2012
1953,Ford Fiesta Sedan 2012,93.7,Nissan NV Passenger Van 2012,Hyundai Elantra Touring Hatchback 2012
1954,Daewoo Nubira Wagon 2002,62.9,Suzuki SX4 Hatchback 2012,Nissan NV Passenger Van 2012
1955,Volvo XC90 SUV 2007,53.4,AM General Hummer SUV 2000,Audi RS 4 Convertible 2008
1956,AM General Hummer SUV 2000,38.8,GMC Canyon Extended Cab 2012,Chevrolet Tahoe Hybrid SUV 2012
1957,Nissan NV Passenger Van 2012,45.5,Audi TTS Coupe 2012,Chrysler 300 SRT-8 2010
1958,Hyundai Genesis Sedan 2012,97.8,Mercedes-Benz S-Class Sedan 2012,Hyundai Azera Sedan 2012
1959,Audi S6 Sedan 2011,65.8,Mercedes-Benz E-Class Sedan 2012,Mercedes-Benz C-Class Sedan 2012
1960,Bentley Arnage Sedan 2009,81.4,Land Rover Range Rover SUV 2012,Daewoo Nubira Wagon 2002
1961,Audi 100 Wagon 1994,25.5,FIAT 500 Convertible 2012,Plymouth Neon Coupe 1999
1962,Mercedes-Benz S-Class Sedan 2012,35.2,Volvo 240 Sedan 1993,BMW M6 Convertible 2010
1963,Acura TL Type-S 2008,27.9,Acura RL Sedan 2012,Volkswagen Golf Hatchback 1991
1964,Hyundai Veloster Hatchback 2012,51.3,BMW M5 Sedan 2010,Ford GT Coupe 2006
1965,Chevrolet Monte Carlo Coupe 2007,34.0,Chevrolet Camaro Convertible 2012,Spyker C8 Coupe 2009
1966,Dodge Caliber Wagon 2007,99.6,Jeep Patriot SUV 2012,BMW 1 Series Coupe 2012
1967,Suzuki Kizashi Sedan 2012,61.9,Hyundai Elantra Touring Hatchback 2012,Cadillac CTS-V Sedan 2012
1968,Mitsubishi Lancer Sedan 2012,23.0,Daewoo Nubira Wagon 2002,Suzuki SX4 Hatchback 2012
1969,Dodge Dakota Club Cab 2007,98.4,Dodge Dakota Crew Cab 2010,GMC Acadia SUV 2012
1970,Daewoo Nubira Wagon 2002,63.4,Hyundai Elantra Touring Hatchback 2012,Mercedes-Benz Sprinter Van 2012
1971,Chrysler 300 SRT-8 2010,44.7,Dodge Dakota Club Cab 2007,Nissan NV Passenger Van 2012
1972,Bentley Arnage Sedan 2009,60.5,Audi V8 Sedan 1994,Chrysler 300 SRT-8 2010
1973,Mercedes-Benz E-Class Sedan 2012,75.0,Audi S4 Sedan 2012,Bentley Continental GT Coupe 2012
1974,BMW M6 Convertible 2010,55.1,Audi S6 Sedan 2011,Mercedes-Benz C-Class Sedan 2012
1975,Volvo 240 Sedan 1993,30.0,Jeep Patriot SUV 2012,Chevrolet Traverse SUV 2012
1976,Mercedes-Benz C-Class Sedan 2012,84.0,Mercedes-Benz E-Class Sedan 2012,Ford Focus Sedan 2007
1977,Hyundai Genesis Sedan 2012,93.4,Hyundai Azera Sedan 2012,Chrysler PT Cruiser Convertible 2008
1978,Audi S4 Sedan 2007,32.4,Spyker C8 Convertible 2009,Eagle Talon Hatchback 1998
1979,Audi RS 4 Convertible 2008,27.1,BMW M5 Sedan 2010,Hyundai Veloster Hatchback 2012
1980,Spyker C8 Coupe 2009,93.8,Volvo C30 Hatchback 2012,McLaren MP4-12C Coupe 2012
1981,Dodge Sprinter Cargo Van 2009,44.8,Mercedes-Benz Sprinter Van 2012,Chrysler Town and Country Minivan 2012
1982,Chevrolet Traverse SUV 2012,71.8,Ford GT Coupe 2006,smart fortwo Convertible 2012
1983,Hyundai Sonata Sedan 2012,22.4,Chrysler Town and Country Minivan 2012,Hyundai Azera Sedan 2012
1984,Spyker C8 Coupe 2009,19.5,Ford GT Coupe 2006,Spyker C8 Convertible 2009
1985,Mercedes-Benz Sprinter Van 2012,73.6,Daewoo Nubira Wagon 2002,Nissan NV Passenger Van 2012
1986,Tesla Model S Sedan 2012,58.3,Ferrari 458 Italia Coupe 2012,Honda Accord Coupe 2012
